method,model,n_features,fit_seconds,train_acc,val_acc,test_acc,val_f1_macro,test_f1_macro
pca,logreg,2054,186.78893995285034,0.9997441800972116,0.6842105263157895,0.6767676767676768,0.45265286486182665,0.42461287818430676
pca,logreg_balanced,2054,180.30882048606873,0.9997441800972116,0.6842105263157895,0.6666666666666666,0.4560116845362385,0.41517341516829953
pca,rbf_svm,2054,9.74706220626831,0.9997441800972116,0.6596491228070176,0.6094276094276094,0.40046374759802705,0.3348388697488444
pca,linear_svm_balanced,2054,660.0988538265228,0.9997441800972116,0.6175438596491228,0.5858585858585859,0.3779675725509058,0.3276691652239898
pca,linear_svm,2054,675.0967967510223,0.9997441800972116,0.6105263157894737,0.5925925925925926,0.3655067189669494,0.3201542590153334
pca,random_forest,2054,8.15539002418518,0.9997441800972116,0.47719298245614034,0.5185185185185185,0.20669015482055722,0.2575626121976892
pca,knn_k7,2054,0.030776262283325195,0.9994883601944231,0.41754385964912283,0.42424242424242425,0.26638221828609293,0.28503256003256
pca,dummy_most_frequent,2054,0.0,0.13481708876950627,0.4070175438596491,0.4074074074074074,0.04821280133000832,0.048245614035087724
pca,gaussian_nb,2054,0.09224867820739746,0.5410590943975442,0.11929824561403508,0.09764309764309764,0.08150413429648813,0.06763656102048139
